-86.577,32.523
-87.748,30.593
-85.331,31.857
-87.123,33.04
-86.555,33.978
-85.705,32.098
-86.662,31.736
-85.818,33.742
-85.289,32.891
-85.622,34.184
-86.69,32.853
-88.258,32.028
-87.834,31.688
-85.843,33.266
-85.512,33.648
-85.957,31.379
-87.726,34.731
-87.002,31.416
-86.236,32.956
-86.416,31.251
-86.289,31.71
-86.83,34.156
-85.615,31.394
-87.066,32.38
-85.799,34.459
-86.171,32.597
-87.233,31.104
-86.032,34.019
-87.752,33.747
-87.833,34.465
-85.797,31.095
-87.951,32.837
-87.636,32.768
-85.254,31.494
-85.35,31.19
-85.948,34.755
-86.828,33.528
-88.085,33.773
-87.606,34.877
-87.302,34.554
-85.329,32.607
-86.975,34.807
-86.66,32.171
-85.721,32.422
-86.588,34.731
-87.789,32.332
-87.879,34.116
-86.289,34.33
-88.14,30.722
-87.36,31.556
-86.261,32.332
-86.919,34.507
-87.334,32.613
-88.089,33.274
-85.937,31.792
-85.446,33.262
-85.101,32.376
-86.329,33.667
-86.699,33.269
-88.216,32.559
-86.178,33.368
-85.835,32.85
-87.512,33.236
-87.285,33.82
-88.151,31.366
-87.348,31.993
-87.419,34.151
-109.45,35.645
-109.9,31.75
-111.51,35.771
-110.98,33.715
-109.82,32.865
-109.27,33.068
-114.05,33.864
-112.09,33.495
-114.08,35.286
-110.26,35.406
-111.09,32.178
-111.5,32.966
-110.91,31.482
-112.41,34.65
-114.39,32.685
-91.429,34.36
-91.785,33.185
-92.354,36.312
-94.247,36.354
-93.066,36.285
-92.141,33.521
-92.51,33.596
-93.566,36.364
-91.309,33.309
-93.158,34.069
-90.401,36.364
-92.061,35.535
-92.216,33.905
-93.23,33.249
-92.714,35.208
-90.632,35.828
-94.26,35.523
-90.273,35.198
-90.786,35.28
-92.608,33.938
-91.35,33.789
-91.736,33.601
-92.38,35.119
-93.885,35.478
-91.729,36.355
-93.076,34.545
-92.451,34.311
-90.514,36.098
-93.648,33.718
-92.891,34.337
-93.965,34.05
-91.587,35.757
-91.875,36.139
-91.228,35.613
-91.987,34.244
-93.485,35.499
-93.563,33.272
-91.071,36.071
-90.764,34.78
-91.709,33.979
-94.221,33.697
-93.755,35.221
-91.912,34.779
-93.73,36.031
-92.681,36.291
-93.968,33.385
-90.03,35.807
-91.208,34.733
-93.644,34.559
-93.327,33.689
-93.188,35.968
-92.861,33.574
-92.862,34.983
-90.762,34.468
-93.657,34.177
-90.604,35.587
-94.254,34.485
-93.084,35.33
-91.534,34.808
-92.294,34.767
-90.989,36.315
-90.709,35.016
-92.636,34.616
-94.09,34.881
-92.688,35.921
-94.352,35.294
-94.263,34.017
-91.498,36.19
-92.17,35.874
-92.613,33.207
-92.414,35.566
-94.199,36.051
-91.731,35.25
-91.244,35.196
