1	-155.09618500600	19.87711462840	0
1	-155.07210596500	19.72458552580	1
1	-154.97576307800	19.74064344190	2
1	-154.97576247500	19.65233536320	3
1	-154.79109601900	19.53996041070	4
1	-154.81518746100	19.45967642080	5
1	-154.92758182500	19.41951864850	6
1	-155.01588170700	19.33121153550	7
1	-155.15237213700	19.26699196380	8
1	-155.30489903900	19.23487839870	9
1	-155.52167871300	19.12248454670	10
1	-155.53772978100	19.04221063240	11
1	-155.66619232100	18.92178634510	12
1	-155.77858583400	19.01009268800	13
1	-155.85886150000	19.01010091030	14
1	-155.90703102000	19.13051329750	15
1	-155.87492704300	19.37135860840	16
1	-155.94717832700	19.48375020630	17
1	-155.97125861100	19.62825271140	18
1	-156.04352465600	19.78078325180	19
1	-155.97930094300	19.82092252790	20
1	-155.88295869900	19.93331197810	21
1	-155.82676172000	20.00556289650	22
1	-155.83478665900	20.06175742530	23
1	-155.89097883100	20.17414905060	24
1	-155.85885794600	20.27047952420	25
1	-155.73844208500	20.20625677000	26
1	-155.56182595300	20.13400696800	27
1	-155.20055021200	19.99752881840	28
1	-155.09618500600	19.87711462840	29
1	-156.88648717800	20.73604940920	30
1	-156.96676559900	20.72802073160	31
1	-156.99086346600	20.79223715150	32
1	-156.98282632300	20.83237762680	33
1	-157.05509821200	20.88053842590	34
1	-157.03905067100	20.92870697240	35
1	-156.91058584500	20.92871861770	36
1	-156.80620534200	20.84041861220	37
1	-156.81422569800	20.79225271730	38
1	-156.88648717800	20.73604940920	39
1	-156.52519164600	20.98487016380	40
1	-156.47702205300	20.89656513910	41
1	-156.35660350300	20.94472636100	42
1	-156.26026336300	20.92867126870	43
1	-156.01139245300	20.80022532160	44
1	-155.98731705300	20.75206163170	45
1	-156.04351154300	20.65573260000	46
1	-156.13180890400	20.62362291870	47
1	-156.19604541200	20.63164940740	48
1	-156.27631740700	20.58348386090	49
1	-156.39673494300	20.56742698150	50
1	-156.43687923100	20.62362121730	51
1	-156.46097189300	20.72798108730	52
1	-156.49307474000	20.79220428150	53
